beta,gamma,deterministic_clean_cost,deterministic_adversarial_cost,deterministic_damage,noisy_clean_cost,noisy_adversarial_cost,noisy_damage
1.16,10633.524291149633,4513.353833337119,4847.656273121656,334.30243978453746,5164.449791251632,644665.9960428454,639501.5462515937
1.17,10725.192604004373,4509.1309355619105,4845.538754834261,336.40781927235093,5126.4644918615595,22616.406450546754,17489.941958685195
1.18,10816.86091685911,4505.04319495062,4847.187097214088,342.1439022634677,5092.422385728806,37167.77723602946,32075.354850300657
1.19,10908.52922971385,4501.085981116741,4853.616427968329,352.53044685158784,5061.720079840081,9028.893334670802,3967.173254830721
1.2,11000.197542568587,4497.254845355883,4866.26983059758,369.0149852416971,5033.872964157931,17838.27229438925,12804.399330231321
1.21,11091.865855423326,4493.545507711756,4887.228209247701,393.68270153594494,5008.487359894084,148859.3390060249,143850.85164613082
1.22,11183.534168278064,4489.95384595017,4919.5512081949055,429.59736224473545,4985.240125270027,10906.42848751793,5921.188362247902
1.23,11275.202481132803,4486.475886124219,4967.849320148113,481.37343402389433,4963.863496740951,40502.232522938124,35538.36902619717
1.24,11366.87079398754,4483.10779445727,5039.281793316649,556.173998859379,4944.133667355598,29166.724900116817,24222.591232761217
1.25,11458.53910684228,4479.845870308092,5145.379055298481,665.5331849903887,4925.862073393819,26783.433238806014,21857.571165412195
1.26,11550.207419697017,4476.686540017989,5305.5593247975285,828.8727847795399,4908.888671002371,39487.73940045586,34578.85072945349
1.27,11641.875732551756,4473.626351474939,5554.385373273327,1080.759021798388,4893.076693710544,10523.44922786549,5630.372534154947
1.28,11733.544045406494,4470.6619692615695,5957.8449769242925,1487.183007662723,4878.30852489526,8685.151527907887,3806.8430030126265
1.29,11825.212358261233,4467.790170269093,6654.012623024399,2186.2224527553053,4864.482418804521,51133.726432428186,46269.24401362366
1.3,11916.88067111597,4465.007839692805,7970.2709536778,3505.2631139849955,4851.5098738731,41642.2599144026,36790.7500405295
1.31,12008.54898397071,4462.311967328529,10837.57605760812,6375.26409027959,4839.31351214702,6236.371719048812,1397.058206901792
1.32,12100.217296825447,4459.69964412287,18804.21570265998,14344.516058537112,4827.825354805545,278066.5902642524,273238.7649094468
1.33,12191.885609680186,4457.168058913532,55996.551200851434,51539.3831419379,4816.985410208136,111994.84339158188,107177.85798137375
1.331,12201.05244096566,4456.919235597639,66214.87930041587,61757.960064818224,4815.934966849828,216982.41458114082,212166.479614291
1.332,12210.219272251134,4456.671189757097,79698.90298092471,75242.23179116762,4814.890419393087,3818499.4331750944,3813684.542755701
1.333,12219.386103536606,4456.4239187362355,97989.03740482833,93532.61348609209,4813.851718682903,252436.47361082732,247622.6218921444
